"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "XML", "Properties", "HTML", "comment", "blank", "total"
"e:\new project\wdp\frontend\src\components\header\Header.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\new project\wdp\frontend\src\components\navbar\Navbar.css", "CSS", 53, 0, 0, 0, 0, 0, 0, 0, 13, 11, 77
"e:\new project\wdp\frontend\src\components\navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 0, 0, 6, 153
"e:\new project\wdp\frontend\src\context\StoreContext.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"e:\new project\wdp\frontend\src\context\food_list.jsx", "JavaScript JSX", 0, 0, 290, 0, 0, 0, 0, 0, 1, 7, 298
"e:\new project\wdp\frontend\src\index.css", "CSS", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\new project\wdp\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\new project\wdp\frontend\src\pages\cart\Cart.css", "CSS", 85, 0, 0, 0, 0, 0, 0, 0, 0, 15, 100
"e:\new project\wdp\frontend\src\pages\cart\Cart.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 81
"e:\new project\wdp\frontend\src\pages\home\Home.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\new project\wdp\frontend\src\pages\home\Home.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"e:\new project\wdp\frontend\src\pages\placeorder\PlaceOrder.css", "CSS", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"e:\new project\wdp\frontend\src\pages\placeorder\PlaceOrder.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 56
"e:\new project\wdp\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 655, 182, 1284, 10, 10666, 4, 1, 26, 25, 269, 13122
